item_id,title,tfidf_raw_score,tfidf_normalized
EX12,Batik Wau Bulan (A Malaysian Heritage Kite) Making Workshop,0.0,0.0
EX03,Annah Rais Longhouse Visit,0.0,0.0
EX15,Bekang Tradisional Hujung Tanjung (Pok Weil),0.0,0.0
EX14,BeadStory & Crafts,0.0,0.0
EX16,Biking through Malay Countryside,0.0,0.0
EX19,Borneo Happy Farm,0.0,0.0
EX20,Borneo Tree House,0.0,0.0
EX13,Bazar Kuih Tradisional Gong Kapas,0.0,0.0
EX09,Batik Boutique Corporate Services and Workshop Studio,0.0,0.0
EX08,Balai Kito Homestay,0.0,0.0
EX103,Kraftangan Kuala Kangsar No. C-1,0.0,0.0
EX101,Kiulu Farmstay,0.0,0.0
EX100,Kilang Kerepek Mak Jah,0.0,0.0
EX99,KHN Harum Manis,0.0,0.0
EX97,Keropok Lekor Tokku,0.0,0.0
EX98,Khairol Fiber Group,0.0,0.0
EX96,Keropok Lekor Ori Terengganu No. 1,0.0,0.0
EX95,Kerepek Ubi Pedas Zaronah / Tugi,0.0,0.0
EX89,Kedai Jala Mad Rezeki,0.0,0.0
EX94,Kek Lapis Warisan Sdn Bhd,0.0,0.0
EX93,Kek Lapis Mua Izzaty,0.0,0.0
EX91,Kek Lapis Dayang Salhah,0.0,0.0
EX88,Kedai Belacan Cincaluk Sri Murni,0.0,0.0
EX90,Kedai Kraftangan Lina Madu,0.0,0.0
EX86,Kareem Pasembur Rojak,0.0,0.0
EX87,Kebun Limau Agro Cikgu Ibrahim,0.0,0.0
EX72,Jeti Pak Awang River Cruise,0.0,0.0
EX75,Kak Yah Budu Tempayan,0.0,0.0
EX82,Kampung Dagat Homestay,0.0,0.0
EX83,Kampung Kuantan Fireflies Park,0.0,0.0
EX80,Kampung Budaya Sarawak,0.0,0.0
EX74,Kadaiku • Sabah Souvenirs & Handicrafts,0.0,0.0
EX76,"Kalang Warisan, Serada",0.0,0.0
EX78,Kampung Agong Heritage Theme Park,0.0,0.0
EX63,Homemade Coklat Nise,0.0,0.0
EX62,Hola Campsite Cameron Highlands,0.0,0.0
EX64,Homemade Kuih Bakar Melaka Semabok,0.0,0.0
EX65,Homestay Water Village Patau-Patau 2,0.0,0.0
EX67,Ikan Bilis Sabarang Sungai Enterprise,0.0,0.0
EX66,Hunter Boat Service,0.0,0.0
EX70,Jelita Ostrich Farm,0.0,0.0
EX71,Jeruk Madu Pak Ali,0.0,0.0
EX40,Dooran Dooran Orchard Tours,0.0,0.0
EX41,Eco Tourism Kampung Sungai Melayu,0.0,0.0
EX46,Fatimah Songket Terengganu,0.0,0.0
EX42,Eko-Pelancongan Kg. Kolosunan,0.0,0.0
EX44,Explore Kampung Baru with a Local,0.0,0.0
EX129,Marang ATV Eco Tour,0.0,0.0
EX122,Makanan Tradisional Melaka (CekPah Chickeboom),0.0,0.0
EX120,LoQSakri Agro Farm - Restaurant & Cafe,0.0,0.0
EX110,Labu Sayong BD KRAF,0.0,0.0
EX109,Kuih Sopang Frozen,0.0,0.0
EX143,Naimah Harumanis Perlis Asli,0.0,0.0
EX144,Nasi Dagang Atas Tol,0.0,0.0
EX147,NBA Ledang Foodstuff,0.0,0.0
EX136,Mira Cake House (Kek Basah Sarawak),0.0,0.0
EX137,Miso Walai Homestay & Village Tours,0.0,0.0
EX139,Murug Turug Eco Tourism,0.0,0.0
EX135,MIe Wau Sering,0.0,0.0
EX134,Mee Siput Kak Chik,0.0,0.0
EX133,Maskamal Batik & Trading,0.0,0.0
EX131,Mariwansa Kraftangan Sdn Bhd,0.0,0.0
EX128,Mamamidah - Authentic Dodol Manufacturer,0.0,0.0
EX114,Langkawi Eco Ventures (Mangrove Kayak Tour),0.0,0.0
EX112,Labu Sayong Xtream Craft Deco N Pottery,0.0,0.0
EX115,Lata Kashmir View,0.0,0.0
EX119,Live like Local 2D1N Tour,0.0,0.0
EX117,Learn Cooking Malaysian Local Cuisine,0.0,0.0
EX116,Learn Authentic Malaysian Vegan Cooking,0.0,0.0
EX104,KT Kraf,0.0,0.0
EX107,Kuih Bakar Kuala Ina,0.0,0.0
EX108,Kuih Bakar Tradisional Bandar Melaka,0.0,0.0
EX106,Kuan Wellness Ecopark,0.0,0.0
EX105,Kuala Sepetang Eco Tourism,0.0,0.0
EX166,Perniagaan Benang Serat Nanas M&Z,0.0,0.0
EX165,Perlis Vineyard,0.0,0.0
EX161,Pau Mira Frozen Food Pagoh,0.0,0.0
EX162,Penang Homecooking School,0.0,0.0
EX160,Pasembur King (Hussain),0.0,0.0
EX157,Pakmud Batik,0.0,0.0
EX158,Pandan Molek Enterprise,0.0,0.0
EX159,Parit Falls Campsite,0.0,0.0
EX155,Ottornest Camp,0.0,0.0
EX154,Open Traditional Dance Class,0.0,0.0
EX153,Ole Ole Melaka,0.0,0.0
EX156,Paklim Gift & Souvenir,0.0,0.0
EX152,Oh Dayang,0.0,0.0
EX149,Nomad Adventure Sdn Bhd,0.0,0.0
EX150,Nordin Batik Sdn. Bhd,0.0,0.0
EX151,O Green Durian Farm,0.0,0.0
EX183,Rumah Laksa Enam Bintang,0.0,0.0
EX182,Royal Selangor Pewter Workshop (KL),0.0,0.0
EX186,Ruza Agrotech,0.0,0.0
EX184,Rumah Makan Perpateh,0.0,0.0
EX187,Sabahan Local Food Cooking Class at Kinarut,0.0,0.0
EX189,Sambal Streets Kuala Lumpur Food Tour with 15+ Tastings,0.0,0.0
EX190,Sarawak Handicraft Centre,0.0,0.0
EX170,Perusahaan Keropok Lekor Hj. Puteh,0.0,0.0
EX175,Pua Kumbu Tapestries,0.0,0.0
EX169,Perusahaan Kerepek Tok Atan,0.0,0.0
EX178,Restoran Selera Nogori,0.0,0.0
EX176,Pusat Manik Seramik Long Tuma (Handmade Ceramic Beads Lawas),0.0,0.0
EX179,Rini Craft - Beg Kraftangan Anyaman,0.0,0.0
EX181,Ronna Creativa Rattan Craft,0.0,0.0
EX171,Pine Valley Vila & Camper Site,0.0,0.0
EX168,"Perusahaan Abdullah Sekeluarga, Pusat pengumpulan dan jualan Mempelam Harumanis",0.0,0.0
EX199,Sumiran Eco Park & Resort,0.0,0.0
EX198,Stong Heritage Eco Resort,0.0,0.0
EX196,Songket Weaving Memento Experience,0.0,0.0
EX195,Sky Mirror Sekinchan,0.0,0.0
EX193,Selling Craft by Orang Asli,0.0,0.0
EX194,"Sky Ladder Pineapple Farm, Port Dickson",0.0,0.0
EX192,Sekati Emas Boat Tour,0.0,0.0
EX191,Segong Handicraft,0.0,0.0
EX185,Rustic Borneo Craft Ent,0.0,0.0
EX208,Teratak Rimba Amir,0.0,0.0
EX204,Tanjak Warisan by Tanjak Lestari Balong Ayam Songket,0.0,0.0
EX200,Sungai Lima Pulau Ketam Eco Tour,0.0,0.0
EX203,Taman Eko Rimba Sungai Pauh,0.0,0.0
EX202,Talula Hill Farm Resort,0.0,0.0
EX205,Tanjak Warisan Tokwan,0.0,0.0
EX201,Take a Guided Ride on the Wind and Green Malacca,0.0,0.0
EX215,Traditional Music Instrument Maker and Supplier,0.0,0.0
EX214,Traditional Instrument Gambus by Habis Kreatif Enterprise,0.0,0.0
EX213,Traditional Dance Workshop,0.0,0.0
EX212,The Rimba Lavender Heights,0.0,0.0
EX211,The Backyard Glamping Cameron Highlands,0.0,0.0
EX209,Terengganu Songket,0.0,0.0
EX218,Tropical Spice Garden,0.0,0.0
EX217,Treegrow Camp,0.0,0.0
EX223,Village Farm Day Tour,0.0,0.0
EX222,VH Green Nature Park,0.0,0.0
EX221,UNESCO Heritage Discovery Ride,0.0,0.0
EX220,Uncle Wong Happy Farm,0.0,0.0
EX219,UK Farm Kluang Agro Resort,0.0,0.0
EX227,YA Harumanis Perlis Original,0.0,0.0
EX229,Zakka Campsite,0.0,0.0
EX228,Zaini Salai House,0.0,0.0
